eslworkingIP, apMac, apIP, apVersion 
http://127.0.0.1:9000, DC:07:C1:01:64:88, 192.168.15.126, 3.3.2 
http://127.0.0.1:9000, DC:07:C1:01:91:4C, 192.168.9.179, 3.3.2 
